word          , label
lit           ,     1
yeet          ,     1
sus           ,     1
bruh          ,     1
flex          ,     1
lowkey        ,     1
highkey       ,     1
extra         ,     1
salty         ,     1
savage        ,     1
ghosted       ,     1
shade         ,     1
tea           ,     1
fam           ,     1
bae           ,     1
woke          ,     1
cap           ,     1
bet           ,     1
vibe          ,     1
slay          ,     1
ratchet       ,     1
thicc         ,     1
simp          ,     1
stan          ,     1
dope          ,     1
chill         ,     1
hangry        ,     1
finna         ,     1
deadass       ,     1
sksksk        ,     1
periodt       ,     1
rizz          ,     1
mid           ,     1
bussin        ,     1
sheesh        ,     1
goat          ,     1
clout         ,     1
ghosting      ,     1
gassed        ,     1
snatched      ,     1
flexing       ,     1
lowbat        ,     1
bro           ,     1
noob          ,     1
lmao          ,     1
lol           ,     1
bffr          ,     1
sksk          ,     1
glowup        ,     1
hits different,     1
based         ,     1
cringe        ,     1
salty         ,     1
mood          ,     1
oof           ,     1
yolo          ,     1
fomo          ,     1
squad         ,     1
turnt         ,     1
hyped         ,     1
janky         ,     1
sketchy       ,     1
hello         ,     0
computer      ,     0
table         ,     0
chair         ,     0
government    ,     0
education     ,     0
mathematics   ,     0
weather       ,     0
friend        ,     0
family        ,     0
work          ,     0
school        ,     0
book          ,     0
water         ,     0
music         ,     0
happy         ,     0
sad           ,     0
run           ,     0
walk          ,     0
talk          ,     0
eat           ,     0
sleep         ,     0
learn         ,     0
write         ,     0
read          ,     0
listen        ,     0
speak         ,     0
understand    ,     0
knowledge     ,     0
science       ,     0
history       ,     0
country       ,     0
city          ,     0
river         ,     0
mountain      ,     0
building      ,     0
office        ,     0
document      ,     0
meeting       ,     0
schedule      ,     0
project       ,     0
manager       ,     0
employee      ,     0
student       ,     0
teacher       ,     0
professor     ,     0
hospital      ,     0
doctor        ,     0
nurse         ,     0
medicine      ,     0
weather       ,     0
season        ,     0
summer        ,     0
winter        ,     0
autumn        ,     0
spring        ,     0
travel        ,     0
airport       ,     0
station       ,     0
vehicle       ,     0
bicycle       ,     0
computer      ,     0
internet      ,     0
software      ,     0
hardware      ,     0
database      ,     0
